Name,Job title,Organization,What are you working on in the field of social and economic justice?,What do you need from the Delegate community to move this work forward?,What are you able and willing to contribute to the Delegate community?
Derek Nunner (he/him),Director of Partnerships,Sorenson Impact Center,"In short: innovations in impact investing. We are advancing the field of impact through building the next generation of impact leaders and researching, building, and applying impact innovations.",Motivated partners to co-create an impactful world,"A generalist view with an impact focus, diverse networks, exciting new innovations, and a keenness for true learning."
Enrique Kaufmann,Director,The Green Squids,"We channel and manage circular investment towards INCLUSIVE WEALTH by investing in Places, People, Production and Prosperity. We invest in regenerative real estate to create beautiful, resilient, cognitive enhancing communities. In doing so, we help develop regenerative abilities and livelihoods (People) that consolidate circular value chains (Production) and impact investment portfolios (Prosperity).","We have been participating in several netwroks for many years, including OC to build alliances and relationships for when we were ready to deploy our model fully. We are there and are looking forward to grounding many of these.","We over 10 very focused on the model itself, 27 counting everything that led up to it. In that process we have gained lots of insight, experience and technical abilities that we love to openly share."
John Nzira (he/him),Executive Director,Twende,"We are an entrepreneurship training program that employs a human-centred design approach to empower people, especially school students and makers. 
Our goal is to nurture their ability to create technological innovations, not only to address pressing community issues but also to unlock a realm of diverse opportunities. 
This journey begins by transforming learners into makers and then guiding them to become innovators and, ultimately, successful entrepreneurs.",Being involved in our work through collaboration and partnering to support our mission.,Link people to opportunities through my network
Armand Ijimbere (he/him),Founder & Executive Director,NACHAM AFRICA,"NACHAM AFRICA is Burundian Organization with a Humanitarian purpuse of responding to the cries of the most vulnerable patients and children hospitalized in public hospitals through its various programs according to a holistic approach that is inspired by the daily needs of the patients, namely nutrition,medication,hygiene,psychosocial well bein and selfillent as human beings worthy of a dignified life despite their health condition",Networking,Sharing my experience on field and volunteer
Chris Muriithi,Director and Co Founder,QACC Africa,Economic empowerment for the queer community in the Global South through the chamber of commerce. We support queer business owners and entrepreneurs by creating an eco system for trade for the pink economy to thrive.,"Advice, investment opportunities and funding for our work.",Training around Blended Finance when it comes to funding the queer community in the Global South.
Aaron Kirunda (no preference),Founder & CEO,Enjuba,"Education: Improving literacy and executive function for African children through library development, publishing locally relevant books and early childhood programs.","Connections, Funders, Advisors","Local Knowledge, skills,  connections to over 20 African countries through our education programming with the African Spelling Bee."
Kristi Ferrel (she/her),Media & Communications Program Coordinator,Boma Investments,"Storytelling and communications - I help identify amazing media and communication experts, bring them to OC so that they can assist the delegate community in amplifying their messaging, audience and communication skills.",Engagement! Come learn from our media/communication experts. They will be leading 4 capacity building sessions to assist you in building your communication skills. You're already doing amazing things. We want to help you tell and engage others in it. Feed back! If there is a specific media/communications skill you and your organization need please find me and tell me about it. We'll begin recruiting for new expert for 2024 and are also looking to offer free virtual media and communications training following OC.,Amazing media and communication trainings from a diverse and very talented group. Connections to a network of skilled media and comms people.
Hugues Hardy Ruremesha (he/him),Founder and CEO,Jeunesse au Service d'un Burundi Meilleur,JSBM is working on social and school reintegration of former street children,I would like to have new partners/donors who are willing to join our vision of youth led community transformation,willing and able to share own experience based on the challenges and suitable solutions we have come up with to tackle them.
Gayatri Datar (she/her),CEO,EarthEnable,"Affordable housing in rural Africa, management talent development, and anti-colonial philanthropy","Support figuring out how to hire a C-Suite, potential partners to be EarthEnable's master-franchisees outside of Rwanda and Uganda to scale our impact, support in scaling sustainable building","Fundraising tips and tricks, management training support"
Dana Kawaoka-Chen (she/her),Co-Executive Director,Justice Funders,"Justice Funders guides philanthropy to redistribute wealth, democratize power and shift economic control to community. As an organization, we strive to practice liberated governance as a worker self-directed nonprofit organization.","Engaged learning, sharing, building.","Thought partnership, imagination, strategy, referrals."
Dino Foxx (they/them),Director of Imagination & Culture,Justice Funders,"As Director of Imagination & Culture at Justice Funders, I work with our staff to integrate and experiment with ways to build cultural containers that are worker-centered and are moving to transform workspaces in service to ushering philanthropy though a Just Transition. In the fall I will be partnering with Beloved Economies to shape season 2 of the Light Ahead podcast around the future of funding from a futurist lens.","While Justice Funders will be using all of our frameworks to shape the season of the podcast, we are hoping to be in communications with funders to use appreciative inquiry to identify what must be present in order to accomplish the goals we have of building a regenerative future in 100 years.","As a facilitator I am excited to partner with the Beloved Economies team to build out a fun, creative and energizing space for conversation, getting curious and helping each other identify next steps for future transformation."
Nikishka Iyengar (she/her),"Founder, Ecosystem Director",The Guild,,,
Sara Wolfe (she/her),Initiatives Manager,Common Future,"Initiatives that rethink power, ownerships and choice over the economy centering BIPOC communities in the US. I am also leading interracial global dialogues with Global Shapers.","New ideas, especially regarding formats of bringing people together in hybrid spaces","Knowledge from the DR, storytelling, equitable grant making."
Priti Bhattarai (she/her),CEO,Perennial,"Our work sits at the intersection of leadership, social justice, and human development. We exist to help social leaders around the world renew and sustain themselves in the context of their community, leadership, cause, and lives. As a result of nearly two decades of work with thousands of participants throughout Africa, Asia-Pacific, Latin America, and the Middle East, we have found that a leader's most valuable skill during these complex and challenging times is the ability to connect inward with the purpose and connect outward with the individuals and communities they serve.","We believe that progress towards social and economic justice is a collective effort that requires the active engagement and collaboration of diverse individuals and communities. To move this work forward, we invite the Delegate community to engage in a collaborative effort. Your insights and expertise in social and economic justice are invaluable. Connecting us with global networks, aiding in resource mobilization, and engaging in open dialogue will greatly enhance our impact.","Our commitment to the Delegate community is rooted in the spirit of mutual empowerment and collaboration. This involves sharing our expertise in leadership, social justice, and human development. We're dedicated to supporting your initiatives, exchanging insights, and collaborating for meaningful progress in the realms of social and economic justice."
Aparna Hegde (she/her),Founder and Managing Trustee,ARMMAN,"I am a practising Urogynecologist (Professor), an experienced researcher and the Founder and Managing Trustee of ARMMAN, an Indian non-profit leveraging mHealth technology to create scalable, cost-effective, gender and equity-sensitive, non-linear, systemic solutions to reduce maternal and child mortality and morbidity in India. ARMMAN’s integrated 360 degree approach leverages deep mobile penetration to work with pregnant women and under-5 children along with supporting health workers and systems for early identification, referral, and treatment of risk factors, resulting in improved health outcomes. We create at-scale programs with proven impact by using our unique “tech plus touch” model and building enduring partnerships (with national and state governments, partner NGOs and health facilities) that leverage existing health worker networks and health infrastructure. We are currently implementing the largest mobile-based maternal messaging program (Kilkari) and the largest mobile-based training program for health workers (Mobile Academy) in the world in partnership with the Ministry of Health and Family Welfare, Government of India. Programs implemented by ARMMAN have reached over 27 million women and their children, and trained 235,000 health workers in 19 states, with a planned pan-India expansion reaching 50 million women & 1 million health workers in 7 years, along with adoption of multimedia and “fit for purpose approach” where women and children will receive targeted interventions and greater handholding depending on their technology access, high risk condition, and multiple types of exclusion experienced on the basis of gender, class, race, caste and migrant status.",Collaboration and connections,My expertise in the field of public health and medicine.
Ben Wrobel (he/him),Co-Founder,Proximate,I co-founded a nonprofit magazine called Proximate that explores participatory problem-solving models on a global scale https://proximate.press/,"We're looking for content partners (writers, other independent media organizations who can co-create content with us)",I facilitated a session on power sharing during OC Sunrise
Leah Questad (she/her),"Program Associate, Partnerships and Learning",Imago Dei Fund,"The Imago Dei Fund is a grant-making organization that invests around the world in visionary and impactful non-profits working to advance universal human rights, gender equality, justice, and spiritual holism. Our mission is to co-create a more just and more free world in which all human beings can thrive and flourish together.",Mutual learning and exploring opportunities for connection.,Mutual learning and exploring opportunities for connection.
Lillian Caloca (she/her),Graduate Student,Tulane University School of Public Health & Tropical Medicine,Resilient food systems,"Jobs after graduation, connections in the NGO and international health space",Helping people get into grad school and adding Public health academia knowledge to conversations
Cesar Gonzalez (he/him),Principal,Thrive Consulting,Building the leadership capacity of the field.,To understand the needs of the leaders in their organizations.,Stewarding the leadership circles through the moderator team.
Mustafa Sahid (no preference),Director,Somali Family Service of San Diego,"Workforce Development, Advocacy for Health Equity, Mentorship","Expanded network, partnerships & funding",Experience working with immigrant & refugee communities. Global approach to local issues.
Sonia Sarkar (she/her),Team Member,Beloved Economies,Narrative strategy for beloved economies,Collaboration,Facilitation
Joanna Levitt Cea (she/her),Co-Director,Beloved Economies Campaign,"I have been co-leading the Beloved Economies campaign, an initiative to lift up the power of reimagining and repairing how we work, as a lever of change for economic transformation. The Beloved Economies campaign is time-bound, closing out this December. Following Beloved Economies, I intend to work in funding and resourcing visionary work for economic transformation and justice.","Learning-exchange and shared strategizing, which I am confident will happen in the sessions that Beloved Economies is organizing, plus in other sessions I'm inspired to attend as well",Co-hosting at least one session on workplace transformation and connecting/sharing with folks in any ways that emerge and feel helpful!
Daniel Zoltani (he/him),Executive Director,Whole Planet Foundation,"Whole Planet Foundation supports financially excluded people with access to income generation opportunities so they are empowered to meet their basic needs and become more resilient in the face of shocks. Our funding is focused on sustainable and scalable approaches to support 1) smallholder farmers, 2) excluded microentrepreneurs including women, refugees and rural communities 3) households living in extreme poverty 4) off grid households access safe, reliable and affordable water and energy.",We need new innovative ideas and approaches that will help us grow our mandate. Economic opportunity for the worlds most disadvantages is the core component of our work.,We have a network of hundreds of MFIs and social enterprises around the world. Sharing of best practices and how Whole Planet conducts our due diligence and M&E work.
Vincent Mwangi (he/him),Head of Partnerships,Mama Hope,We believe in the disruptive social change ideas held by early-stage locally-led organizations. We hold their hands and walk the journey with them of being grant-ready social innovators.,"I want to learn, network, and meet like-minded individuals and organisations striving to make the world a better place.","I am able to share more about localisation, how we can make it a success, and the importance of supporting early-stage locally-led organisations."
Doug Satre (he/him),Senior Director of Strategic Partnerships,Plant With Purpose,"In my role at Plant With Purpose, I support our work empowering smallholder farmers nine countries to work their way out of poverty, to heal their damaged ecosystems, and to live with dignity and hope.","I am looking forward to learning from other delegates. I'm especially interested in new ideas and encouragement from those involved in similar work, and in creative funding and expansion ideas. I'm also very interested in how others are measuring program impact. Finally, I'd also like to learn from those integrating gender, biodiversity and climate change adaptation into their poverty alleviation work","I am happy to listen, share with and encourage others in any way that I can. I have over 15 years of creative communication, fundraising and program support experience in international development."
Beatrice Onyango (she/her),"Manager, African Visionary Fellowship",Segal Family Foundation,Driving more funding to African led organisations,More solution oriented conversations about how to fund more local,"Conversations, leading sessions"
Beatrice (Bea) Karanja (she/her),Director,Nature’s Pitch,"Repurposing natural resource protection (conservation) in Africa by supporting zero-to-small green and blue entreprenuers, African women in STEMM and African explorers. Nature’s Pitch aims to be the first matched funding (African and International) organisation to drive transformative and meaningful change by Africans for Africa.","Connection, learning and collaborating with individuals and networks who believe in flipping the status-quo of how development and conservation are practiced and implemented across Africa in a intentional and innovative way.","My learning, my experience and my passion (as a African women, a conservationist, a storyteller) is what I bring to the table and I hope to explore with fellow delegates how to collectively and individually make strategic choices to catalyze the change we want to see across the world."
Lydie Hakizimana (she/her),Founder,Happy Hearts,"I am working on providing quality early childhood education to all in Rwanda especially in the rural areas. By doing so, I hope to create dignified work for the young women and men in Rwanda and Africa as a whole.",I would like to build meaningful connection and partnerships with the OC community that will lead to potential synergies in a near future.,"Yes I am willing to contribute and assist my fellow fellows in any way possible.I would like to share my experience, my failures, my hopes as well as learn from my peers."
Caroline Jones (she/her),Communications Associate,A Glimmer of Hope,A Glimmer of Hope focuses on solving the complex challenges of poverty by creating better opportunities for women and girls and addressing the threat of climate change on the most vulnerable communities in rural Ethiopia.,"Opportunities for funding, collaboration, and peer support as we look to expand our impact across Ethiopia and address the critical need for recovery in Tigray, along with information on best practices and innovative solutions.","Glimmer's experience working solely in Ethiopia for 23 years brings a wealth of knowledge, and I am happy to contribute my experience, network, and willingness to learn to our community and conversations."
Missy Angalla (she/her),Founder and CEO,Amani Sasa,Providing refugees access to safety and equal opportunities to experience healing and transformation,Funding and collaboration opportunities,Experience in providing individuals and families with high levels of trauma access to healing and transformation
Julianna Campusano (she/her),Regional CSR Manager,Club Med North America & The Caribbean,Currently I manage the Club Med Foundation for North America and the Caribbean. A nonprofit organization committed to support vulnerable youth and protect the environment.,Connections in the vicinities of our Club Meds to the NGOs and institutions with the same purpose to explore linked actions of support to the cause.,"Our experience, expertise and connections to fight poverty in the vicinities of our resorts."
Wangari Kamau (she/her),Founder & Principal Consultant,Soma Global Consulting,Intercultural understanding and inclusive leadership to maximize on the potential of working in partnership with a global workforce,sharing ideas and knowledge on what has worked and what has not based on others lived experiences,Facilitation of intercultural communication sesisons
Sonja Brunner (she/her),Director of Operations | Councilmember,Downtown Association of Santa Cruz | City of Santa Cruz,"As a current Santa Cruz City Councilmember, and former Mayor, I am a public servant committed to serving the community. Santa Cruz, California has become the most expensive rental market in the U.S. and has the highest per capita homelessness population. I have also served 12 years on the Housing Authority Board of Commissioners, and last year as Mayor, I enacted the Health In All Policies committee. I’m very interested in learning and understanding how to improve the well being of our community, which includes a broad range of topics such as racial equity, affordable housing, water supply and quality, affordable water rates, mental health and substance use disorder treatment, homelessness, a children’s fund and accessible childcare, senior support etc. In my work at the Downtown Association of Santa Cruz, one of the programs I oversee is the Downtown Ambassador program. In this role, I interact daily with our unhoused residents, those with mental illness, and substance use disorder.","Fresh perspective, other success paths to pursue, collaborations, support programs and funding, support with legislation changes at the State and Federal level.","My experiences and service, listen, perspective, collaborate, smiles and a positive attitude"
Tori Horton (she/her),CEO,Reset Your Nest,"I focus on the care economy and am working to raise domestic wages, improve access to savings accounts, and reduce gender work gaps in household management",I'm looking to connect my daughter with larger global awareness and new friendships.,We care about building and participating in community. We hope to strengthen the youth program.
David Bagnani (he/him),Board Member,GNU Foundation,"Advisory work with several not for profit organizations including educational enrichment, basic hygiene, micro loans, and family empowerment.",Attain a more global understanding of social impact and where are there differences and similarities. Start to develop a framework to understand and evaluate where need hotspots are developing.,"Listening skill, understanding and kindness to reflect and give operational, business plan and fundraising advice."
Allison Laubach (she/her),Legal Program Manager,Lex Mundi Pro Bono Foundation,"We help connect social entrepreneurs with high qualify, pro bono, legal support so that they can scale faster and achieve their missions.","For the first time in several years, we are looking for fundraising opportunities to diversify our funding. This will allow us to serve more people and engage in more thought leadership programs/opportunities.",I will be holding office hours during the event to discuss potential legal pro bono support.
Dustin Martin (he/him),Executive Director,Wings of America,"Access to ""sport"". Representation of Indigenous youth in the ""outdoors"" (our ancestral homelands). Access to higher education for Native American youth. Peaceful demonstration against resource extraction. Recognition/appreciation of Indigenous knowledge to help mitigate the climate crisis.",Perspective on how other Indigenous communities are progressing with limited resources around the globe. Leadership mentoring/coaching for a growing organization. How to effectively tell our organization's story. How to enroll past participants as volunteers and storytellers.  Succession planning advice. Useful fundraising strategies/tools for an organization looking to leverage a larger donor/member base.,"Relate my experiences working for youth in Tribal communities across the US for 10+ years. Histories of Native American runners and pre-colonial running traditions. Wellness workshops that encourage mindful movement and running/walking. With some research, I'd love to mark a course for people to run together one morning."
Kaushik Kappagantulu,Cofounder & CEO,Kheyti,Increasing incomes for smallholder farmers affected by climate change,"Partners, potential team members, mentors, advisors and funders",Sharing my knowledge of the sector and my connections
Caroline Numuhire (she/her),Board Member,Kula,"Poverty eradication, agricultural development, and impact monitoring and evaluation","Insight, expertise, and funding connections","Experience, insight, and support"
Jackie Mutesi (she/her),Executive Program Director,Kula,Kula is working with coffee farmers in Rwanda in order for them to rise out of poverty for good. We are building coffee knowledge and entrepreneurial acumen in order for them to create a new future for their families.,"Advice and insight from people in similar work, perspectives on scaling, and reliable funding partners.","Experience, insight, learnings, impact, honesty and love."
Alicia Bell (they/she),Director,Racial Equity in Journalism Fund,"I mobilize resources to help build a thriving, abundant journalism ecosystem full of Black, Native, Asian, and Latine practitioners serving Black, Native, Asian, and Latine communities.","More than anything, we need partnership and collaboration across a variety of sectors. Additionally, we need folks to better understand how the strength or weakness of our community-rooted journalism and media systems impacts the movements and issues we care about.","Any insight, relationships, or experience I have access to, much of which has to do with racial equity, racial justice, reparations, media, journalism, and cultural organizing."
Laura Stachel (she/her),Executive Director,We Care Solar,"clean energy access in healthcare and education, gender equity in STEM learning and STEM careers. Our Light Every Birth initiative is bringing solar light and power to thousands of health facilities throughout Africa.",New partnerships and funding,"Expertise in building partnerships, creating national initiatives, and working in last-mile health care."
Yawa Hansen-Quao (she/her),Founder,Leading Ladies' Network,"I've been working with to unlock opportunities for women and youth in Africa. My focus has been women's leadership development, and getting young people into government service.","I've been on a personal pause for the past twelve months, I'm searching for what's next and best use of me. Hoping to find direction, be re-energized, and make meaningful connections with new friends, partners, and funders who might journey with me in my next chapter.","I know a lot about social entrepreneurship, education, and leadership development in Africa. Happy to share what I know, and who I know."
Kendra Beach (she/her),Chief Strategy Officer,A Glimmer of Hope,A Glimmer of Hope focuses on solving the complex challenges of poverty by creating better opportunities for women and girls and addressing the threat of climate change on the most vulnerable communities in rural Ethiopia. I lead Glimmer's strategy and fundraising efforts to increase our impact on the ground.,"I am looking for opportunities for funding and collaboration as we look to expand our impact across Ethiopia and address the critical need for recovery in Tigray, along with information on best practices and innovative solutions, and peer support from similar individuals and organizations addressing global challenges.","Glimmer brings expertise in Ethiopia as our sole focus for 23 years, insights on recovery work in the Tigray region as we implement long-term agricultural and trauma support after two years of civil war, and an emphasis on collaboration on localization efforts. Additionally, I am excited to contribute my experience, network, and connections with the Delegate community."
"Schuyler ""sky"" Lance (he/him)",Managing Principal,SustainVC,"We invest in early-stage impact companies. Most investments fall under our ""Equality and Empowerment"" investment segment, where the companies are, for example, helping lift lower-income people out of poverty, are providing education in underserved communities, or are helping to reduce recidivism rates.",Connections to prospective investors in our next impact investment fund.,"40 years of investment experience = connections to capital, mentoring, feedback on business models, etc."
T.J. Cook (he/him),"Executive Director, Fund Manager",CNM Ingenuity,"A venture studio “slash” entrepreneurial center in which youth ages 11-18+ start businesses, take ownership in the center itself, and the model pays for itself through a share of proceeds of businesses started. Piloting in Mew Mexico with goal of a model that can scale to 5,000 centers.","Advice, connections to advisors to the studio, and relationship development with potential investors and partners","I have experience with and am interested helping other delegates with: local and federal grants, angel investors and venture capital funds, startup formation and strategy, technology development, human centered design, lean startup methodology, startup community development, investors in the southwest United States, board development and participation, B Corps, tech transfer, education models."
Lara Berry (she/her),Director of Member Engagement,Connective Impact,"Supporting organizations and social enterprises, helping to find grant support, funding support and other investments.",Learn about funding opportunities that are available to our members.,Organizational leadership experience. Field experience.
Erika Luitjens (she/her),Executive Director,Capcon Foundation,"Trauma Recovery Where individuals or communities have suffered through traumatic events such as genocidal conflict or natural disaster. Job Creation Creating a culture of entrepreneurship, combined with access to capital, will provide well paying jobs and increase opportunity for all. Replication & Scaling If we stop “reinventing the wheel” in many markets and replace it with smooth replication and scaling of proven concepts, we will have a greater impact on more people in less time.","connections, relationships, collaboration","Mentorship, connections, future funding possibilities."
Brennan Lanphear,Creative Director & Associate Producer,Cage Free Productions,video production and storytelling for impact organizations expanding and accelerating impact via storytelling and story strategy,connections new ideas distribution partnerships,connections insights and strategy network building
Michelle Cangelosi (she/her),"Vice President, Transformational Philanthropy",Heifer International,"At Heifer, we support smallholder farmers to achieve a sustainable living wage. This is done through training, access to markets, and engaging cooperatives in agribusinesses to capture more value from their products.","It varies, but I am hoping to meet others that share a passion for seeing change. I am inspired by social entrepreneurs in the ag space and look to them for potential opportunities to better the trajectory of our farming communities. I am also interested to see if there are any larger funders that have an interest in supporting this work.",Heifer runs the AYuTe Challenge which awards annual cash grants to promising young agri-tech innovators on the continent of Africa. I also bring an open mindset to see where things may lead over time.
Abigael Wangombe (she/her),CEO,"Abby Global Ventures, Family Best Care, Coactivesoft",,,
Jailan Adly (she/her),Managing Director,Good Citizen,"Leadership Development, Decolonizing Philanthropy, Global Development, Funding African led and founded NGOs",I'm looking to continue to build a fruitful and impactful network of leaders and innovators in this space.,"In my capacity at GoodCitizen I'm happy to support with leadership advisory, advice on organizational structures and talent management/growth, as well as overall organizational or programmatic strategy. In my capacity as a Board Member for African Visionary Fund - I'm happy to provide advice and network support to African led and founded NGOs."
Elijah McKinnon (they/them),Co-Founder & Executive Director,Open Television (OTV),"I'm working to repair + reimagine a media landscape that creates equitable pipelines to the Film/TV industries for intersectional storytellers. As our world becomes more interconnected, I’m deeply committed to amplifying the power of storytelling and believe that media and entertainment will continue to play a vital role in creating empathy over division.","Open Television (OTV) is one of the only independent platforms in the world dedicated to intersectionality, care and artistic vitality.  As we approach our 10-year anniversary in 2025 I'm looking to connect with investors, grant makers, partners and leaders who are interested in cultivating narrative change, cultural power and sustainable ecosystems through a restorative lens.","I am committed to practices rooted in transformational leadership that are free from hierarchies and other harmful systems of oppression. Happy to share more about the ways I'm cultivating systems of care, evolutionary governance, and lessons I have learned from my 10 years of experience as a Black, queer and non-binary social entrepreneur."
Junueth Mejia (she/her),Deputy Director Digital Philanthropy and Innovation,Hispanics in Philanthropy,"Through the Digital Philanthropy and Innovation area, we develop the digital philanthropic platform (Giving circles, peer to peer crowdfunding, and recurring donations) for Hispanics in Philanthropy to support Latinx communities in the US and across Latin America through Democratizing Philanthropy and providing learning opportunities to nonprofits and individuals. We have had de opportunity to collaborate with different partners in a wide range of causes, like: Gender equity, migration, climate resilience, health, education, language revitalization, economic recovery, among others.","Connections and advise on how to scale and diversify financing sources, create connections with delegates that are on the same journey and looking for partnerships to expand our work in the US and Latin America.","Experience working with over 1,000 nonprofits across de Americas supporting Latinx communities, digital philanthropy and technology, product roll out and management, capacity building, Non traditional ways to support nonprofits and create strategies to leverage the voice of community needs"
Paola Feregrino (she/her),Gender Equity Program Director,Hispanics in Philanthropy,My commitment with the women rights,Create networking spaces,Experience and active listening
Camilla Nestor (she/her),CEO,MCE Social Capital,"MCE is a nonprofit impact investing firm. We use a blended finance model to lend to companies in the developing world, with the goal of creating economic opportunity and building resilience for women and smallholder farmers. We apply two investment lenses to our work - first, a climate and environmental action lens, and second, a gender lens.","There are two central elements of our model: we raise capital from family offices, foundations, and development finance institutions, and we then lend that capital to high-impact social enteprises across Asia, Africa and Latin America. At OC, we're looking to grow our relationships with providers of investment capital and grants, and we're seeking to build our investment pipeline by meeting potential investees working in our areas of focus..","Exchange of ideas, inspiration, and MCE's own learnings from 15+ years of successfully investing in high impact social enterprises!"
Andrew Means (he/him),Founder,Good Tech,"I'm the founder of multiple data & tech initiatives to drive social change. In particular data sharing to drive a better understanding of outcomes in education and workforce development, a global data conference and community for nonprofit professionals, and most recently a private equity style fund investing in small and local businesses.",I'm looking to learn and connect with folks using data and technology in interesting ways at the community level. Far too often the work is focused in international offices of large NGOs and foundations. I want to connect with the innovators on the ground doing the work around the world.,I'm willing to bring my experience and community. I've been lucky to do this work for a long time and I love supporting organizations to use data and tech to drive their impact.
Lin Thu Hein (he/him),Executive Director,Atutu,"By being community-led and centering lived-experience, Atutu brings innovative solutions to dismantle energy inequities in off-grid communities. Currently Atutu works to accelerate solar energy access to marginalized and disenfranchised communities in Southeast Asia, with a special focus on displaced communities and indigenous people living without reliable and affordable energy access. With this approach, Atutu is mitigating preventable risks that come from using other sources of energy, promoting economic growth, and creating shared wealth in the communities","As a new organization of 4 years, we are looking to lean on the expertise and experience of the Delegates who’ve gone through a comparable journey as us. We are looking for partners and funders to help us scale our work. As of right now, we have experience working in northern Myanmar","Being born and raised in an off-grid community in rural Myanmar, I am able to represent my community and speak on issues from the perspective of someone who is most impacted by the social, environmental, and racial justice challenges my organization is trying to address. Representing communities that received humanitarian and development aid, I believe I bring a unique perspective to critique and offer feedback on current and former development approaches that have been tried in communities like mine. From the way we’ve been able to continue our energy access work throughout the tumultuous time and political instability in Myanmar, Atutu’s community-led model has proven to be resilient to major disruptions such as a global pandemic and a military coup. We recognize we can’t franchise our working model to all other off-grid communities because each community is unique in culture and identity"
Polly Byers (she/her),Executive Director,Karuna Center for Peacebuilding,Peacebuilding both internationally and in the US adressing polarization and extremism.,"Partnerships, support, connections to others working in related/similar domains",Sharing the experience and learning and evolution of Karuna over the past 25 years.
Stephanie Skryzowski (she/her),Founder & CEO,100 Degrees Consulting,"My company provides fractional CFO strategy and bookkeeping services to nonprofits because sound financial management is crucial to continue making the impact that nonprofits want to make. We are working on a technical software solution to make financial management, including complex grant management, easier and more accessible to all nonprofit leaders. We have also built a nonprofit financial management curriculum to help build a more sustainable nonprofit sector.",Technical expertise on our financial management platform. Support and advice on getting our curriculum into the hands of more nonprofit leaders. General camaraderie of other leaders in the sector!,I'm willing to share my expertise on building strong financial management systems and structures with anyone who needs support.
Kannan Ganga (he/him),Founder,YellowNest,I am a purpose-driven leader working on equitable outcomes across childcare services.,"Fundraising and philanthropic knowledge & connections, Leadership & Governance support, Integrated Capital approaches to scale.","Dot-connecting conversations (McKinsey-trained mind), opportunity exploration and deep listening. Family office experience. Succession Planning, Board Recruitment & development. People, Technology and ideas."
Tammy Tibbetts (she/her),Co-Founder & CEO,She's the First,"I lead She’s the First, a global girls’ rights organization. We team up with grassroots leaders to make sure girls everywhere are educated, respected, and heard.

I'm also the author of a book called Impact, and I'm very passionate about helping people plug into causes that need them.","Between now and 2025, we'll fully transition our headquarters and executive leadership roles to Nairobi, Kenya and will serve half a million girls across Africa, South Asia, and Latin America. This model of proximate leadership is representative of our core values of anti-oppression and girl-centeredness. I am in need of more diversified networks, a stronger financial runway for a smooth transition, and additional Board members with specific areas of expertise.","So much! I would like to contribute to conversations around power sharing and smooth transitions. 

I invite leaders who are representing girl-centered organizations in the Global South to the Girls First Institute of She's the First. The Girls First Institute is a skills-building, outcomes-improving hub for women who uplift girls in their communities. Led by and for women who serve girls in the Global South. 

I can offer everyone a platform to advocate more effectively for girls with the Global Girls' Bill of Rights (girlsbillofrights.org)."
Nora Worthington (she/her),Director of Communications and Development,Women's Justice Initiative,"Women's Justice, Gender-based violence prevention, Women's leadership and empowerment, Indigenous rights","WJI is an incredible community-driven organization working to improve womens rights and access to justice in rural Guatemala. We are at a pivotal moment of growth and excited to launch an ambitious 5-year strategic plan. I am the only team member based out of country, and the director of our development team. I would love to speak with like-minded people who can help me think creatively about how to fund our work, create more visibility, share our impact in new innovative ways with a broader audience, and grow our organizational capacity. Learning from other organizations and having an opportunity to share ideas and discuss approaches would be incredibly valuable.",I am a dedicated professional who is passionate about social sector organizations and the impact they can have. I have over 6 years of experience working for nonprofits of varying structures and would love to share my lessons learned and experiences with other people who might be curious about the challenges I have faced and approaches used to overcome them. I think this work is best achieved through collaborating with like-minded individuals and organizations.
Olalekan Oshunkoya (he/him),Executive Director,Citizen Commons Advocacy International,Social Impact - Entrepreneurship and Leadership. Active Citizenship,"Collaboration, Access to new opportunities. Partnership","More than 10 years experience in development entrepreneurship, Local experience in Africa, the United States and Europe."
Brian Walusimbi (he/him),Executive Director,Bless a Child Foundation,I provide accommodation and psychosocial support for children suffering from cancer in Uganda,I need grant support and Connections,"I bring my connections, fun and great energy."
